Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:03:00.693,114196.6,0.001,BTCUSDT
2025-09-30 00:03:00.751,114196.6,0.005,BTCUSDT
2025-09-30 00:03:01.253,114196.6,0.005,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.006,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.087,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.087,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.087,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.004,BTCUSDT
2025-09-30 00:03:01.314,114196.5,0.087,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.017,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.003,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.01,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.082,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.002,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.012,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.002,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.004,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.5,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.001,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.008,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.002,BTCUSDT
2025-09-30 00:03:01.315,114196.4,0.002,BTCUSDT
2025-09-30 00:03:01.315,114196.1,0.002,BTCUSDT
2025-09-30 00:03:01.315,114195.8,0.002,BTCUSDT
2025-09-30 00:03:01.315,114195.3,0.065,BTCUSDT
2025-09-30 00:03:01.315,114195.2,0.002,BTCUSDT
2025-09-30 00:03:01.315,114195.2,0.002,BTCUSDT
2025-09-30 00:03:01.315,114195.0,0.001,BTCUSDT
2025-09-30 00:03:01.315,114194.9,0.002,BTCUSDT
2025-09-30 00:03:01.315,114194.6,0.002,BTCUSDT
2025-09-30 00:03:01.315,114194.6,0.006,BTCUSDT
2025-09-30 00:03:01.315,114194.2,0.029,BTCUSDT
2025-09-30 00:03:01.315,114194.0,0.002,BTCUSDT
2025-09-30 00:03:01.315,114194.0,0.011,BTCUSDT
2025-09-30 00:03:01.315,114193.8,0.001,BTCUSDT
2025-09-30 00:03:01.315,114193.8,0.002,BTCUSDT
2025-09-30 00:03:01.315,114193.8,0.002,BTCUSDT
2025-09-30 00:03:01.315,114193.8,0.002,BTCUSDT
2025-09-30 00:03:01.315,114193.6,0.001,BTCUSDT
2025-09-30 00:03:01.315,114193.4,0.002,BTCUSDT
2025-09-30 00:03:01.315,114193.3,0.002,BTCUSDT
2025-09-30 00:03:01.315,114193.2,0.001,BTCUSDT
2025-09-30 00:03:01.315,114193.1,0.002,BTCUSDT
2025-09-30 00:03:01.315,114193.0,0.001,BTCUSDT
2025-09-30 00:03:01.315,114192.9,0.027,BTCUSDT
2025-09-30 00:03:01.315,114192.7,0.001,BTCUSDT
2025-09-30 00:03:01.315,114192.7,0.003,BTCUSDT
2025-09-30 00:03:01.337,114192.6,0.093,BTCUSDT
2025-09-30 00:03:01.337,114192.6,0.093,BTCUSDT
